""	"LABNR"	"SITE"	"LATITUDE"	"LONGITUDE"	"CALAGE"	"REFERENCE"	"MAINCOLOR"
"17734"	"GrN-12665"	"Cuina Turcului"	44.5929	22.2575	13820	"Borić  2011"	"#FF0000"
"17186"	"Hd-13344/13211"	"Öküzini"	37.06	30.56	13790	"--"	"#FF0100"
"17181"	"ETH-8030"	"Öküzini"	37.06	30.56	13730	"--"	"#FF0100"
"8846"	"OxA-2975"	"Hayonim Terrace"	32.92	35.22	13620	"Housley 1994"	"#FF0100"
"656"	"KIK-1362 / NZA-11018"	"nd"	51.2553	4.1883	13600	"Van Strydonck e.a., 2002"	"#FF0100"
"658"	"KIK-1364 / NZA-11021"	"nd"	51.2553	4.1883	13580	"Van Strydonck e.a., 2002"	"#FF0100"
"17183"	"ETH-8032"	"Öküzini"	37.06	30.56	13570	"--"	"#FF0100"
"8847"	"OxA-2977"	"Hayonim Terrace"	32.92	35.22	13560	"Housley 1994"	"#FF0100"
"657"	"KIK-1363 / NZA-11019"	"nd"	51.2553	4.1883	13520	"Van Strydonck e.a., 2002"	"#FF0100"
"17188"	"Hd-13347/13341"	"Öküzini"	37.06	30.56	13400	"--"	"#FF0100"
"8844"	"OxA-2572"	"Hayonim Terrace"	32.92	35.22	13300	"Housley 1994"	"#FF0200"
"17191"	"Lv-1895"	"Öküzini"	37.06	30.56	13280	"Otte et al. 1995, 934"	"#FF0200"
"8048"	"GX-689"	"Ali Tappeh"	36.68	53.55	13270	"McBurney 1968, 395-396"	"#FF0200"
"668"	"KIK-1453 / NZA-11521"	"nd"	51.2162	4.1279	13260	"Van Strydonck e.a., 2002"	"#FF0200"
"8969"	"Ly-1662"	"Mallaha"	33.13	35.58	13260	"Bar-Yosef and Valla 1978, Bar-Yosef and Valla 1979, Weinstein 1984"	"#FF0200"
"8052"	"GX-695"	"Ali Tappeh"	36.68	53.55	13220	"McBurney 1968, 395-396"	"#FF0200"
"722"	"Lv-474"	"nd"	50.9202	4.7689	13180	"Gilot, 1997; Gilot, 1971a; Mullenders e.a., 1972; Vermeersch, 1972"	"#FF0200"
