""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Aachen, Lousberg.Aachen, Lousberg"	"KN-3296"	"nd"	"nd"	"Aachen, Lousberg"	"Neolithic"	"Michelsberg"	50.7869	6.0792	"14C"	5580	230	"Breunig 1987, 185, 202"	"neolithic"	"unknown"	-0.05	"#990033"	2560
"Aachen, Lousberg.Aachen, Lousberg1"	"KN-3093"	"nd"	"nd"	"Aachen, Lousberg"	"Neolithic"	"Michelsberg"	50.7869	6.0792	"14C"	2560	460	"Breunig 1987, 185, 198"	"neolithic"	"unknown"	0.05	"#3058e5"	5580
"Abadah.Abadah"	"BM-1823"	"charcoal"	"nd"	"Abadah"	"PN"	"nd"	33.97	44.83	"14C"	6570	60	"Burleigh et al. 1982b"	"other"	"charcoal"	-0.05	"#990033"	6570
"Abadah.Abadah1"	"BM-1823"	"charcoal"	"nd"	"Abadah"	"PN"	"nd"	33.97	44.83	"14C"	6570	60	"Burleigh et al. 1982b"	"other"	"charcoal"	0.05	"#3058e5"	6570
"Abauntz.Abauntz"	"Ly-1964"	" nd"	"nd"	"Abauntz"	"nd"	"Azilian"	43.0167	-2.0417	"14C"	10850	410	"Corchon Rodriguez S. 2002. Zephyrus 55:85-142."	"other"	"unknown"	-0.05	"#990033"	10850
"Abauntz.Abauntz1"	"Ly-1964"	" nd"	"nd"	"Abauntz"	"nd"	"Azilian"	43.0167	-2.0417	"14C"	10850	410	"Corchon Rodriguez S. 2002. Zephyrus 55:85-142."	"other"	"unknown"	0.05	"#3058e5"	10850
"Abd el Aziz.Abd el Aziz"	"N-6239"	"charcoal"	"nd"	"Abd el Aziz"	"Chalcolithic"	"Chalc."	35.89	36.5	"14C"	8050	140	"Iwasaki and Tsuneki (eds.) 2003, Appendix 1"	"chalcolithic"	"charcoal"	-0.05	"#990033"	7720
"Abd el Aziz.Abd el Aziz1"	"N-6238"	"charcoal"	"nd"	"Abd el Aziz"	"Chalcolithic"	"Chalc."	35.89	36.5	"14C"	7720	280	"Iwasaki and Tsuneki (eds.) 2003, Appendix 1"	"chalcolithic"	"charcoal"	0.05	"#3058e5"	8050
"Abdul Hosein.Abdul Hosein"	"GX-6356"	"nd"	"nd"	"Abdul Hosein"	"Neolithic"	"Neo."	34.18	48.16	"14C"	10050	360	"Marshall 2012"	"neolithic"	"unknown"	-0.05	"#990033"	8330
"Abdul Hosein.Abdul Hosein1"	"GX-6358"	"nd"	"nd"	"Abdul Hosein"	"Neolithic"	"Neo."	34.18	48.16	"14C"	8330	290	"Marshall 2012"	"neolithic"	"unknown"	0.05	"#3058e5"	10050
"Abermawr I.Abermawr I"	"OxA-1411"	"peat"	"nd"	"Abermawr I"	"Epipalaeolithic"	"nd"	51.9691	-5.0823	"14C"	8450	150	"CBA Radiocarbon Index"	"epipalaeolithic"	"other"	-0.05	"#990033"	6300
"Abermawr I.Abermawr I1"	"OxA-1377"	"peat"	"nd"	"Abermawr I"	"Meso/Neo"	"nd"	51.9691	-5.0823	"14C"	6300	170	"CBA Radiocarbon Index"	"other"	"other"	0.05	"#3058e5"	8450
"Abingdon.Abingdon"	"BM-349"	"charcoal"	"nd"	"Abingdon"	"Epipalaeolithic"	"nd"	51.0667	-1.2833	"14C"	6890	150	"British Museum VII, 170"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	5100
"Abingdon.Abingdon1"	"BM-354"	"bone"	"nd"	"Abingdon"	"Neolithic"	"nd"	51.0667	-1.2833	"14C"	5100	190	"British Museum VII, 170"	"neolithic"	"bone"	0.05	"#3058e5"	6890
"Abric Agut.Abric Agut"	"OxA-10050"	"charcoal"	"nd"	"Abric Agut"	"Epipalaeolithic"	"nd"	41.5333	1.7	"14C"	11630	170	"Kiel DB 4093"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	10360
"Abric Agut.Abric Agut1"	"OxA-10049"	"charcoal"	"nd"	"Abric Agut"	"Epipalaeolithic"	"nd"	41.5333	1.7	"14C"	10360	90	"Kiel DB 4092"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	11630
"Abric del Filador.Abric del Filador"	"OxA-8660"	"charcoal"	"nd"	"Abric del Filador"	"Epipalaeolithic"	"nd"	41.28	0.75	"14C"	12870	80	"Kiel DB 4103"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	9120
"Abric del Filador.Abric del Filador1"	"AA--13411"	"charcoal"	"nd"	"Abric del Filador"	"Epipalaeolithic"	"nd"	41.28	0.75	"14C"	9120	120	"Kiel DB 4097"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	12870
"Abric Romani.Abric Romani"	"Arizona University Lab Geochemical isotopic"	"charcoal"	"nd"	"Abric Romani"	"nd"	"Epipalaeolithic"	41.5333	1.675	"14C"	10360	100	"see annex"	"other"	"charcoal"	-0.05	"#990033"	10360
"Abric Romani.Abric Romani1"	"Arizona University Lab Geochemical isotopic"	"charcoal"	"nd"	"Abric Romani"	"nd"	"Epipalaeolithic"	41.5333	1.675	"14C"	10360	100	"see annex"	"other"	"charcoal"	0.05	"#3058e5"	10360
"Abri de la Frau.Abri de la Frau"	"Ly-2913"	"bone"	"nd"	"Abri de la Frau"	"Epipalaeolithic"	"Sauveterrien"	45.45	5.78	"14C"	9650	270	"van Willigen 2006"	"epipalaeolithic"	"bone"	-0.05	"#990033"	8920
"Abri de la Frau.Abri de la Frau1"	"Ly-28"	"bone"	"nd"	"Abri de la Frau"	"Epipalaeolithic"	"Sauveterrien"	45.45	5.78	"14C"	8920	150	"van Willigen 2006"	"epipalaeolithic"	"bone"	0.05	"#3058e5"	9650
"Abri de la Vessigne.Abri de la Vessigne"	"Ly-4745"	"bone"	"nd"	"Abri de la Vessigne"	"Neolithic"	"Epicardial"	44.32	4.6	"14C"	6620	90	"van Willigen 2006"	"neolithic"	"bone"	-0.05	"#990033"	6620
