""	"LABNR"	"SITE"	"LATITUDE"	"LONGITUDE"	"CALAGE"	"REFERENCE"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Aachen, Lousberg.Aachen, Lousberg"	"KN-3305"	"Aachen, Lousberg"	50.7869	6.0792	5410	"Breunig 1987, 185, 204"	-0.05	"#FF3300"	2560
"Aachen, Lousberg.Aachen, Lousberg1"	"KN-3093"	"Aachen, Lousberg"	50.7869	6.0792	2560	"Breunig 1987, 185, 198"	0.05	"#3058e5"	5410
"Abadah"	"BM-1823"	"Abadah"	33.97	44.83	6570	"Burleigh et al. 1982b"	0.05	"#3058e5"	6570
"Abauntz"	"Ly-1964"	"Abauntz"	43.0167	-2.0417	10850	"Corchon Rodriguez S. 2002. Zephyrus 55:85-142."	0.05	"#3058e5"	10850
"Abd el Aziz.Abd el Aziz"	"N-6238"	"Abd el Aziz"	35.89	36.5	7720	"Iwasaki and Tsuneki (eds.) 2003, Appendix 1"	-0.05	"#FF3300"	7720
"Abd el Aziz.Abd el Aziz1"	"N-6238"	"Abd el Aziz"	35.89	36.5	7720	"Iwasaki and Tsuneki (eds.) 2003, Appendix 1"	0.05	"#3058e5"	7720
"Abdul Hosein.Abdul Hosein"	"GX-6357"	"Abdul Hosein"	34.18	48.16	10030	"Marshall 2012"	-0.05	"#FF3300"	8330
"Abdul Hosein.Abdul Hosein1"	"GX-6358"	"Abdul Hosein"	34.18	48.16	8330	"Marshall 2012"	0.05	"#3058e5"	10030
"Abermawr I.Abermawr I"	"OxA-1377"	"Abermawr I"	51.9691	-5.0823	6300	"CBA Radiocarbon Index"	-0.05	"#FF3300"	6300
"Abermawr I.Abermawr I1"	"OxA-1377"	"Abermawr I"	51.9691	-5.0823	6300	"CBA Radiocarbon Index"	0.05	"#3058e5"	6300
"Abingdon.Abingdon"	"BM-351"	"Abingdon"	51.0667	-1.2833	5810	"British Museum VII, 170"	-0.05	"#FF3300"	5100
"Abingdon.Abingdon1"	"BM-354"	"Abingdon"	51.0667	-1.2833	5100	"British Museum VII, 170"	0.05	"#3058e5"	5810
"Abric Agut.Abric Agut"	"OxA-10074"	"Abric Agut"	41.5333	1.7	11590	"Kiel DB 4096"	-0.05	"#FF3300"	10360
"Abric Agut.Abric Agut1"	"OxA-10049"	"Abric Agut"	41.5333	1.7	10360	"Kiel DB 4092"	0.05	"#3058e5"	11590
"Abric del Filador.Abric del Filador"	"OxA-8659"	"Abric del Filador"	41.28	0.75	12770	"Kiel DB 4102"	-0.05	"#FF3300"	9120
"Abric del Filador.Abric del Filador1"	"AA--13411"	"Abric del Filador"	41.28	0.75	9120	"Kiel DB 4097"	0.05	"#3058e5"	12770
"Abric Romani"	"Arizona University Lab Geochemical isotopic"	"Abric Romani"	41.5333	1.675	10360	"see annex"	0.05	"#3058e5"	10360
"Abri de la Frau.Abri de la Frau"	"Ly-28"	"Abri de la Frau"	45.45	5.78	8920	"van Willigen 2006"	-0.05	"#FF3300"	8920
"Abri de la Frau.Abri de la Frau1"	"Ly-28"	"Abri de la Frau"	45.45	5.78	8920	"van Willigen 2006"	0.05	"#3058e5"	8920
"Abri de la Vessigne"	"Ly-4745"	"Abri de la Vessigne"	44.32	4.6	6620	"van Willigen 2006"	0.05	"#3058e5"	6620
"Abri de Pendimoun.Abri de Pendimoun"	"Ly-5692"	"Abri de Pendimoun"	43.8	7.5	7500	"van Willigen 2006"	-0.05	"#FF3300"	7040
"Abri de Pendimoun.Abri de Pendimoun1"	"Ly-5691"	"Abri de Pendimoun"	43.8	7.5	7040	"van Willigen 2006"	0.05	"#3058e5"	7500
"Abri des Autours.Abri des Autours"	"OxA-5838"	"Abri des Autours"	50.25	4.9	10290	"Bronk Ramsey C. et al. 2002. Archaeometry 44: 1-149."	-0.05	"#FF3300"	10290
"Abri des Autours.Abri des Autours1"	"OxA-5838"	"Abri des Autours"	50.25	4.9	10290	"Bronk Ramsey C. et al. 2002. Archaeometry 44: 1-149."	0.05	"#3058e5"	10290
"Abri des Cabônes"	"Gif-8397"	"Abri des Cabônes"	47.15	5.72	8620	"Bosset 2010"	0.05	"#3058e5"	8620
"Abri des Correardes.Abri des Correardes"	"Ly-7076"	"Abri des Correardes"	44.66	5.71	7140	"van Willigen 2006"	-0.05	"#FF3300"	7140
"Abri des Correardes.Abri des Correardes1"	"Ly-7076"	"Abri des Correardes"	44.66	5.71	7140	"van Willigen 2006"	0.05	"#3058e5"	7140
"Abri des Usclades.Abri des Usclades"	"Gif-9143"	"Abri des Usclades"	44.02	3.3	6350	"van Willigen 2006"	-0.05	"#FF3300"	6350
"Abri des Usclades.Abri des Usclades1"	"Gif-9143"	"Abri des Usclades"	44.02	3.3	6350	"van Willigen 2006"	0.05	"#3058e5"	6350
"Abri du Chaveau.Abri du Chaveau"	"Lv-1919"	"Abri du Chaveau"	50.6139	5.2319	4070	"Gilot, 1997; Toussaint & Becker, 1988; Toussaint & Becker, 1993"	-0.05	"#FF3300"	4070
"Abri du Chaveau.Abri du Chaveau1"	"Lv-1919"	"Abri du Chaveau"	50.6139	5.2319	4070	"Gilot, 1997; Toussaint & Becker, 1988; Toussaint & Becker, 1993"	0.05	"#3058e5"	4070
"Abri du Pape"	"Lv-1747"	"Abri du Pape"	50.8067	3.6786	4720	"Gilot, 1997; Léotard, 1989"	0.05	"#3058e5"	4720
"Abri du Roc de Dourgne.Abri du Roc de Dourgne"	"Mc-1107"	"Abri du Roc de Dourgne"	42.77	2.08	7710	"van Willigen 2006"	-0.05	"#FF3300"	4670
"Abri du Roc de Dourgne.Abri du Roc de Dourgne1"	"Mc-779"	"Abri du Roc de Dourgne"	42.77	2.08	4670	"Linstädter 2004"	0.05	"#3058e5"	7710
"Abrigo del Angel.Abrigo del Angel"	"GrN-15520"	"Abrigo del Angel"	40.74	-0.39	9060	"van Willigen 2006"	-0.05	"#FF3300"	8960
"Abrigo del Angel.Abrigo del Angel1"	"GrN-15518"	"Abrigo del Angel"	40.74	-0.39	8960	"van Willigen 2006"	0.05	"#3058e5"	9060
"Abri Lechat.Abri Lechat"	"Lv-1408"	"Abri Lechat"	50.4333	5.5333	8790	"Gilot, 1997; Lausberg-Miny e.a., 1983, Lausberg e.a., 1984"	-0.05	"#FF3300"	5460
"Abri Lechat.Abri Lechat1"	"Lv-1332"	"Abri Lechat"	50.113	4.7436	5460	"Gilot, 1997; Lausberg-Miny e.a., 1983, Lausberg e.a., 1984"	0.05	"#3058e5"	8790
"Abri Loschbour.Abri Loschbour"	"Beta-132067"	"Abri Loschbour"	49.77	6.24	8830	"Brou 2007"	-0.05	"#FF3300"	7930
"Abri Loschbour.Abri Loschbour1"	"GrN-7177"	"Abri Loschbour"	49.77	6.24	7930	"Brou 2007"	0.05	"#3058e5"	8830
"Abri No 2 de Saint Mitre.Abri No 2 de Saint Mitre"	"Mc-263"	"Abri No 2 de Saint Mitre"	43.88	5.65	7300	"van Willigen 2006"	-0.05	"#FF3300"	6810
"Abri No 2 de Saint Mitre.Abri No 2 de Saint Mitre1"	"Mc-202"	"Abri No 2 de Saint Mitre"	43.88	5.65	6810	"van Willigen 2006"	0.05	"#3058e5"	7300
"Abri Pataud.Abri Pataud"	"GrN-841"	"Abri Pataud"	44.933	1.0167	8620	"zie Cambridge"	-0.05	"#FF3300"	8620
