""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"
"1"	"Beta-56415"	"charcoal"	"nd"	"Konispol"	"Neolithic"	"Early Neolithic"	39.658	20.178	"14C"	7870	110	"Gehlen 2010"	"neolithic"	"charcoal"
"2"	"Beta-56416"	"charcoal"	"nd"	"Konispol"	"Neolithic"	"Early Neolithic"	39.658	20.178	"14C"	7670	130	"Gehlen 2010"	"neolithic"	"charcoal"
"3"	"Beta-67802"	"charcoal"	"nd"	"Konispol"	"Neolithic"	"Early-Middle Neolithic"	39.658	20.178	"14C"	7690	80	"Gehlen 2010"	"neolithic"	"charcoal"
"4"	"Beta-67803"	"charcoal"	"nd"	"Konispol"	"Epipalaeolithic"	"nd"	39.658	20.178	"14C"	8300	90	"Gehlen 2010"	"epipalaeolithic"	"charcoal"
"5"	"Beta-67804"	"charcoal"	"nd"	"Konispol"	"Epipalaeolithic"	"nd"	39.658	20.178	"14C"	8440	140	"Gehlen 2010"	"epipalaeolithic"	"charcoal"
"6"	"Beta-79000"	"charcoal"	"nd"	"Konispol"	"Epipalaeolithic"	"nd"	39.658	20.178	"14C"	8230	90	"Gehlen 2010"	"epipalaeolithic"	"charcoal"
"7"	"Beta-79999"	"nd"	"nd"	"Konispol"	"Epipalaeolithic?"	"nd"	39.658	20.178	"14C"	8230	90	"biagi 2002"	"other"	"unknown"
"8"	"Beta-80000"	"charcoal"	"nd"	"Konispol"	"Epipalaeolithic"	"nd"	39.658	20.178	"14C"	8340	90	"Gehlen 2010"	"epipalaeolithic"	"charcoal"
"9"	"Beta-80002"	"soil"	"nd"	"Konispol"	"Epipalaeolithic?"	"nd"	39.658	20.178	"14C"	7380	60	"Gehlen 2010"	"other"	"other"
"10"	"Mc-209"	"nd"	"nd"	"Ain Boucherit"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7670	140	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"11"	"Mc-210"	"nd"	"nd"	"Ain Boucherit"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7830	130	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"12"	"Mc-337"	"nd"	"nd"	"Ain Dokkara"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8290	90	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"13"	"Mc-338"	"nd"	"nd"	"Ain Dokkara"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8840	150	"Gehlen 2010"	"epipalaeolithic"	"unknown"
