ID	LABNR	C14AGE	C14STD	C13	MATERIAL	SPECIES	COUNTRY	SITE	PERIOD	CULTURE	Phase	LOCUS	LATITUDE	LONGITUDE	METHOD	CALAGE	CALSTD	REFERENCE	NOTICE
1	Beta-56415	7060	110	0	charcoal	nd	Albania	Konispol	Neolithic	Early Neolithic	Impresso	XI/20	39,658	20,178	14C	7870	110	Gehlen 2010	Bonsall 2013
2	Beta-56416	6800	140	0	charcoal	nd	Albania	Konispol	Neolithic	Early Neolithic	Impresso	XI/18	39,658	20,178	14C	7670	130	Gehlen 2010	Bonsall 2013
3	Beta-67802	6830	80	0	charcoal	nd	Albania	Konispol	Neolithic	Early-Middle Neolithic	Impresso	XII/29	39,658	20,178	14C	7690	80	Gehlen 2010	Bonsall 2013
4	Beta-67803	7510	90	0	charcoal	nd	Albania	Konispol	Epipalaeolithic	nd	nd	XXI/39	39,658	20,178	14C	8300	90	Gehlen 2010	Bonsall 2013
5	Beta-67804	7630	140	0	charcoal	nd	Albania	Konispol	Epipalaeolithic	nd	nd	XXI/39	39,658	20,178	14C	8440	140	Gehlen 2010	Bonsall 2013
6	Beta-79000	7410	80	0	charcoal	nd	Albania	Konispol	Epipalaeolithic	nd	nd	XXI/42	39,658	20,178	14C	8230	90	Gehlen 2010	Bonsall 2013
7	Beta-79999	7410	80	0	nd	nd	Albania	Konispol	Epipalaeolithic?	nd	nd	nd	39,658	20,178	14C	8230	90	biagi 2002	Bonsall 2013
8	Beta-80000	7550	80	0	charcoal	nd	Albania	Konispol	Epipalaeolithic	nd	nd	XXI/41	39,658	20,178	14C	8340	90	Gehlen 2010	Bonsall 2013
9	Beta-80002	6470	70	0	soil	nd	Albania	Konispol	Epipalaeolithic?	nd	nd	XII/16	39,658	20,178	14C	7380	60	Gehlen 2010	Bonsall 2013
10	Mc-209	6800	150	0	nd	nd	Algeria	Ain Boucherit	Epipalaeolithic	Capsien superieur	nd	Depth 130-150	0	0	14C	7670	140	Gehlen 2010	
11	Mc-210	7000	150	0	nd	nd	Algeria	Ain Boucherit	Epipalaeolithic	Capsien superieur	nd	Depth 130-150	0	0	14C	7830	130	Gehlen 2010	
12	Mc-337	7485	100	0	nd	nd	Algeria	Ain Dokkara	Epipalaeolithic	Capsien superieur	nd	shell midden	0	0	14C	8290	90	Gehlen 2010	
13	Mc-338	7990	100	0	nd	nd	Algeria	Ain Dokkara	Epipalaeolithic	Capsien superieur	nd	shell midden	0	0	14C	8840	150	Gehlen 2010	
14	Mc-339	8530	120	0	nd	nd	Algeria	Ain Dokkara	Epipalaeolithic	Capsien superieur	nd	shell midden	0	0	14C	9540	130	Gehlen 2010	
15	Mc-340	7090	120	0	nd	nd	Algeria	Ain Dokkara	Epipalaeolithic	Capsien superieur	nd	shell midden	0	0	14C	7910	120	Gehlen 2010	
16	Mc-372	7260	120	0	nd	nd	Algeria	Ain Dokkara	Epipalaeolithic	Capsien superieur	nd	shell midden	0	0	14C	8100	120	Gehlen 2010	
17	Mc-373	7280	120	0	nd	nd	Algeria	Ain Dokkara	Epipalaeolithic	Capsien superieur	nd	shell midden	0	0	14C	8120	120	Gehlen 2010	
18	Mc-374	7570	120	0	nd	nd	Algeria	Ain Dokkara	Epipalaeolithic	Capsien superieur	nd	shell midden	0	0	14C	8370	130	Gehlen 2010	
19	Mc-375	8030	120	0	nd	nd	Algeria	Ain Dokkara	Epipalaeolithic	Capsien superieur	nd	shell midden	0	0	14C	8900	190	Gehlen 2010	
20	Mc-376	8345	120	0	nd	nd	Algeria	Ain Dokkara	Epipalaeolithic	Capsien superieur	nd	shell midden	0	0	14C	9310	150	Gehlen 2010	
21	I-7690	7280	115	0	nd	nd	Algeria	Ain Misteheyia	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	8120	120	Gehlen 2010	
22	I-7691	9280	135	0	nd	nd	Algeria	Ain Misteheyia	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	10490	180	Gehlen 2010	
23	I-9781	7725	120	0	nd	nd	Algeria	Ain Misteheyia	Epipalaeolithic	Capsien superieur	nd	Depth 50-60	0	0	14C	8560	130	Gehlen 2010	
24	I-9782	7640	115	0	nd	nd	Algeria	Ain Misteheyia	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	8450	110	Gehlen 2010	
25	I-9783	7990	125	0	nd	nd	Algeria	Ain Misteheyia	Epipalaeolithic	Capsien superieur	nd	Depth 90-100	0	0	14C	8850	170	Gehlen 2010	
26	I-9784	8125	125	0	nd	nd	Algeria	Ain Misteheyia	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	9040	210	Gehlen 2010	
27	I-9785	9430	150	0	nd	nd	Algeria	Ain Misteheyia	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	10740	260	Gehlen 2010	
28	I-9786	9615	155	0	nd	nd	Algeria	Ain Misteheyia	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	10940	210	Gehlen 2010	
29	I-9824	9805	160	0	nd	nd	Algeria	Ain Misteheyia	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	11230	310	Gehlen 2010	
30	I-9825	9130	155	0	nd	nd	Algeria	Ain Misteheyia	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	10280	220	Gehlen 2010	
31	I-9826	9600	150	0	nd	nd	Algeria	Ain Misteheyia	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	10920	210	Gehlen 2010	
32	Gif-1220	9170	200	0	nd	nd	Algeria	Ain Naga	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	10340	290	Gehlen 2010	
33	SMU-1132	7330	387	0	nd	nd	Algeria	Aioun Berriche	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	8200	390	Gehlen 2010	
34	SMU-1135	7780	247	0	nd	nd	Algeria	Aioun Berriche	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	8670	290	Gehlen 2010	
35	Gif-4058	8260	180	0	nd	nd	Algeria	Bir Oum Ali 2	Epipalaeolithic	Capsien superieur	nd	nd	0	0	14C	9200	220	Gehlen 2010	
